1	27.27%	39.34%
2	49.28%	54.97%
3	58.63%	62.13%
4	64.78%	66.52%
5	69.08%	69.73%
6	71.20%	71.10%
7	72.28%	72.05%
8	73.23%	73.12%
9	73.93%	73.72%
10	74.57%	74.02%
11	75.00%	74.50%
12	75.50%	74.97%
13	75.83%	75.19%
14	76.23%	75.29%
15	76.50%	75.44%
16	76.74%	75.72%
17	77.00%	76.02%
18	77.16%	76.09%
19	77.30%	76.14%
20	77.38%	76.27%
21	77.56%	76.34%
22	77.73%	76.32%
23	77.95%	76.39%
24	78.15%	76.44%
25	78.46%	76.61%
26	78.77%	76.89%
27	78.90%	77.06%
28	79.07%	77.29%
29	79.29%	77.56%
30	79.54%	77.91%
31	79.83%	78.11%
32	79.90%	78.06%
33	79.92%	78.16%
34	80.06%	78.38%
35	80.16%	78.53%
36	80.21%	78.66%
37	80.28%	78.68%
38	80.34%	78.88%
39	80.44%	78.88%
40	80.50%	78.91%
41	80.62%	79.03%
42	80.69%	79.03%
43	80.68%	79.03%
44	80.77%	79.13%
45	80.84%	79.28%
46	82.30%	81.53%
47	84.06%	82.10%
48	84.18%	82.55%
49	84.28%	82.80%
50	84.35%	82.95%
51	84.42%	83.02%
52	84.56%	83.10%
53	84.66%	83.17%
54	84.81%	83.12%
55	84.90%	83.00%
56	85.06%	82.97%
57	85.12%	83.02%
58	85.21%	83.07%
59	85.19%	83.05%
60	85.23%	83.10%
61	85.27%	83.07%
62	85.40%	83.10%
63	85.42%	83.05%
64	85.52%	83.17%
65	85.62%	83.25%
66	85.67%	83.27%
67	85.77%	83.35%
68	85.79%	83.37%
69	85.84%	83.40%
70	85.88%	83.47%
71	85.98%	83.55%
72	86.12%	83.57%
73	86.17%	83.55%
74	86.17%	83.57%
75	86.18%	83.72%
76	86.17%	83.50%
77	86.18%	83.62%
78	86.28%	83.57%
79	86.35%	83.52%
80	86.35%	83.57%
81	86.45%	83.64%
82	86.51%	83.62%
83	86.49%	83.57%
84	86.53%	83.60%
85	86.62%	83.62%
86	86.71%	83.64%
87	86.70%	83.64%
88	86.69%	83.84%
89	86.71%	83.92%
90	86.70%	83.87%
91	86.71%	83.89%
92	86.76%	84.04%
93	86.77%	84.09%
94	86.85%	84.02%
95	86.82%	84.07%
96	86.87%	84.07%
97	86.87%	84.12%
98	86.89%	84.12%
99	86.95%	84.07%
100	86.99%	84.09%
101	86.97%	84.24%
102	87.00%	84.29%
103	87.07%	84.39%
104	87.08%	84.34%
105	87.22%	84.32%
106	87.19%	84.34%
107	87.15%	84.39%
108	87.20%	84.32%
109	87.23%	84.39%
110	87.23%	84.52%
111	87.22%	84.54%
112	87.30%	84.62%
113	87.30%	84.74%
114	87.31%	84.74%
115	87.38%	84.72%
116	87.42%	84.72%
117	87.45%	84.77%
118	87.52%	84.82%
119	87.49%	84.72%
120	87.55%	84.74%
121	87.54%	84.87%
122	87.56%	84.79%
123	87.59%	84.72%
124	87.59%	84.74%
125	87.65%	84.87%
126	87.75%	84.82%
127	87.77%	84.97%
128	87.85%	85.04%
129	87.92%	85.17%
130	87.89%	85.22%
131	87.98%	85.07%
132	87.95%	85.14%
133	88.04%	85.27%
134	88.04%	85.09%
135	88.10%	84.94%
136	88.07%	85.04%
137	88.05%	84.97%
138	88.03%	84.97%
139	88.08%	84.92%
140	88.07%	85.04%
141	88.11%	84.97%
142	88.11%	85.22%
143	88.14%	85.07%
144	88.19%	85.02%
145	88.22%	85.04%
146	88.22%	85.17%
147	88.24%	85.14%
148	88.25%	85.19%
149	88.25%	85.24%
150	88.32%	84.99%
151	88.32%	85.04%
152	88.27%	85.22%
153	88.39%	85.34%
154	88.39%	85.29%
155	88.36%	85.37%
156	88.39%	85.39%
157	88.47%	85.32%
158	88.39%	85.42%
159	88.42%	85.19%
160	88.37%	85.37%
161	88.45%	85.42%
162	88.45%	85.39%
163	88.50%	85.46%
164	88.53%	85.44%
165	88.60%	85.51%
166	88.62%	85.42%
167	88.67%	85.51%
168	88.63%	85.51%
169	88.62%	85.61%
170	88.70%	85.74%
171	88.69%	85.66%
172	88.67%	85.64%
173	88.72%	85.59%
174	88.79%	85.61%
175	88.74%	85.64%
176	88.81%	85.56%
177	88.77%	85.59%
178	88.81%	85.61%
179	88.84%	85.69%
180	88.81%	85.59%
181	88.80%	85.64%
182	88.78%	85.66%
183	88.87%	85.59%
184	88.88%	85.96%
185	88.92%	85.99%
186	88.88%	86.01%
187	88.90%	86.11%
188	88.87%	85.94%
189	88.84%	85.96%
190	88.92%	85.79%
191	88.94%	85.69%
192	88.95%	85.71%
193	89.00%	85.94%
194	88.95%	85.99%
195	88.96%	86.01%
196	89.03%	86.06%
197	89.02%	86.19%
198	89.10%	86.14%
199	89.18%	86.21%
200	89.12%	86.04%
